Grado,Tiempo Estandar ns,Tiempo Horner ns
10,312,91
20,582,150
30,871,198
40,1131,280
50,1349,300
60,1642,421
70,1842,435
80,1883,464
90,1964,549
100,2402,589
110,2378,632
120,2917,675
130,3066,742
140,3416,788
150,3237,847
160,3425,897
170,3671,949
180,4416,1085
190,5405,1066
200,5080,1239
210,6506,1268
220,5816,1231
230,5846,1314
240,6711,1352
250,6540,1410
260,6657,1458
270,6422,1510
280,6787,1555
290,6940,1610
300,7270,1654
310,8382,1721
320,9328,1764
330,8834,1822
340,9506,1876
350,8368,1930
360,8570,1983
370,9002,2031
380,10726,2075
390,8310,2137
400,8817,2195
410,11455,2247
420,8912,2299
430,10459,2352
440,11061,2399
450,9644,2456
460,9796,2513
470,10417,2573
480,12070,2619
490,11586,2670
500,13485,2729
510,11262,2773
520,14057,2845
530,12842,2911
540,12002,2936
550,12933,2988
560,13422,3049
570,12069,3097
580,15484,3179
590,12653,3214
600,13088,3262
610,14670,3312
620,13226,3387
630,13361,3427
640,13587,3490
650,16384,3536
660,15701,3589
670,14068,3673
680,16326,3709
690,16268,3777
700,16356,3798
710,15503,3865
720,15365,3914
730,15668,3970
740,17537,4024
750,17646,4095
760,16404,4129
770,18740,4172
780,15844,4230
790,17783,4291
800,17252,4338
810,18382,4390
820,20301,4451
830,18970,4507
840,24569,4867
850,19282,4869
860,20626,4686
870,17604,4743
880,19455,4791
890,20150,4825
900,22275,5702
910,26107,4936
920,20566,4981
930,19620,5062
940,22347,5119
950,19112,5150
960,21350,5200
970,19911,5270
980,20760,5328
990,23511,5365
1000,21755,5513
